Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
391; 273.20; 0.0007806839; -0.0000033506; -0.4292
392; 273.20; 0.0007788707; -0.0000033506; -0.4302
393; 273.20; 0.0007770576; -0.0000033506; -0.4312
394; 273.20; 0.0007752445; -0.0000033506; -0.4322
395; 273.20; 0.0007734313; -0.0000033506; -0.4332
396; 273.20; 0.0007716182; -0.0000033506; -0.4342
397; 273.20; 0.0007698051; -0.0000033506; -0.4353
398; 273.20; 0.0007679919; -0.0000033506; -0.4363
399; 273.20; 0.0007661788; -0.0000033506; -0.4373
400; 273.20; 0.0007643657; -0.0000033506; -0.4384
401; 273.20; 0.0007625526; -0.0000033506; -0.4394
402; 273.20; 0.0007607394; -0.0000033506; -0.4404
403; 273.20; 0.0007589263; -0.0000033506; -0.4415
404; 273.20; 0.0007571132; -0.0000033506; -0.4426
405; 273.20; 0.0007553000; -0.0000033506; -0.4436
406; 273.20; 0.0007534869; -0.0000033506; -0.4447
407; 273.20; 0.0007516738; -0.0000033506; -0.4458
408; 273.20; 0.0007498606; -0.0000033506; -0.4468
409; 273.20; 0.0007480475; -0.0000033506; -0.4479
410; 273.20; 0.0007462344; -0.0000033506; -0.4490
411; 273.20; 0.0007444212; -0.0000033506; -0.4501
412; 273.20; 0.0007426081; -0.0000033506; -0.4512
413; 273.20; 0.0007407950; -0.0000033506; -0.4523
414; 273.20; 0.0007389819; -0.0000033506; -0.4534
415; 273.20; 0.0007371687; -0.0000033506; -0.4545
416; 273.20; 0.0007353556; -0.0000033506; -0.4556
417; 273.20; 0.0007335425; -0.0000033506; -0.4568
418; 273.20; 0.0007317293; -0.0000033506; -0.4579
419; 273.20; 0.0007299162; -0.0000033506; -0.4590
420; 273.20; 0.0007281031; -0.0000033506; -0.4602
421; 273.20; 0.0007262899; -0.0000033506; -0.4613
422; 273.20; 0.0007244768; -0.0000033506; -0.4625
423; 273.20; 0.0007226637; -0.0000033506; -0.4637
424; 273.20; 0.0007208506; -0.0000033506; -0.4648
425; 273.20; 0.0007190374; -0.0000033506; -0.4660
426; 273.20; 0.0007172243; -0.0000033506; -0.4672
427; 273.20; 0.0007154112; -0.0000033506; -0.4684
